file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,28,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,40
style.css,29,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,40
style.css,30,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,31,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,32,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,58
style.css,33,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,3
style.css,34,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,36
style.css,35,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,57
style.css,36,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,38
style.css,37,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,43
style.css,38,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,1,18
style.css,39,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,0
style.css,40,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,0
style.css,41,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,39
style.css,42,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,5
style.css,43,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,69
style.css,44,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,56
style.css,45,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,61
style.css,46,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,23
style.css,47,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,40
style.css,48,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,1,16
style.css,49,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,0
style.css,50,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,0
style.css,51,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,69
style.css,52,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,11
style.css,53,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,1,14
style.css,54,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,1,69
style.css,55,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,43
style.css,56,css,1ee5da4f,Marco,2025-10-03,20:38:23,-07:00,2025-10-03T20:38:23-07:00,0,0
style.css,57,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,58,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,12
style.css,59,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,72
style.css,60,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,52
style.css,61,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,0
style.css,62,css,ef6cf0d0,Marco,2025-10-17,13:52:11,-07:00,2025-10-17T13:52:11-07:00,0,0
style.css,63,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,0,35
style.css,64,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,4
style.css,65,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,45
style.css,66,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,80
style.css,67,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,47
style.css,68,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,15
style.css,69,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,16
style.css,70,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,71
style.css,71,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,21
style.css,72,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,40
style.css,73,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,18
style.css,74,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,75,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,76,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,10
style.css,77,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,59
style.css,78,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,49
style.css,79,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,80,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,81,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,25
style.css,82,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,10
style.css,83,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,11
style.css,84,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,14
style.css,85,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,21
style.css,86,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,17
style.css,87,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,63
style.css,88,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,89,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,0
style.css,90,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,0,11
style.css,91,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,63
style.css,92,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,15
style.css,93,css,34dad491,Marco,2025-10-03,20:52:29,-07:00,2025-10-03T20:52:29-07:00,1,17
style.css,94,css,51a1bcd4,Marco,2025-10-10,17:10:53,-07:00,2025-10-10T17:10:53-07:00,1,28
